company,city,state,latitude,longitude,text,color
Alleguard - Huntington,Monticello,AR,33.6296702,-91.8021856,"Alleguard - Huntington<br>Monticello, AR",#60D13B
Armstrong Brands,Buffalo,NY,42.88644679999999,-78.8783689,"Armstrong Brands<br>Buffalo, NY",#1C30F8
EFP,Elkhart,IN,41.6873832,-85.973517,"EFP<br>Elkhart, IN",#15E7ED
Altor Solutions,Northbridge,MA,42.145,-71.652,"Altor Solutions<br>Northbridge, MA",#942AAE
Altor Solutions,Bloomsburg,PA,41.0037,-76.4541,"Altor Solutions<br>Bloomsburg, PA",#942AAE
Altor Solutions,Anderson,SC,34.5034,-82.6501,"Altor Solutions<br>Anderson, SC",#942AAE
Altor Solutions,Jefferson,GA,34.1176,-83.5724,"Altor Solutions<br>Jefferson, GA",#942AAE
Altor Solutions,Gnadenhutten,OH,40.3584,-81.4401,"Altor Solutions<br>Gnadenhutten, OH",#942AAE
Altor Solutions,New Albany,IN,38.2856,-85.8241,"Altor Solutions<br>New Albany, IN",#942AAE
Altor Solutions,Jackson,TN,35.6145,-88.8139,"Altor Solutions<br>Jackson, TN",#942AAE
Altor Solutions,Plymouth,WI,43.7472,-87.9779,"Altor Solutions<br>Plymouth, WI",#942AAE
Altor Solutions,Fort Madison,IA,40.6292,-91.3143,"Altor Solutions<br>Fort Madison, IA",#942AAE
Altor Solutions,El Dorado Springs,MO,37.8762,-94.0184,"Altor Solutions<br>El Dorado Springs, MO",#942AAE
Altor Solutions,Keller,TX,32.9343,-97.251,"Altor Solutions<br>Keller, TX",#942AAE
Altor Solutions,Modesto,CA,37.6391,-120.9969,"Altor Solutions<br>Modesto, CA",#942AAE
Altor Solutions,Compton,CA,33.8958,-118.2207,"Altor Solutions<br>Compton, CA",#942AAE
Altor Solutions,St. Louis,MO,38.627,-90.1994,"Altor Solutions<br>St. Louis, MO",#942AAE
Altor Solutions,St. Rosa Jaurequi (Queretaro),Queretaro,20.6786,-100.4226,"Altor Solutions<br>St. Rosa Jaurequi (Queretaro), Queretaro",#942AAE
Altor Solutions,St. Rosa Jaurequi (Baja California),BC,32.5027,-117.0037,"Altor Solutions<br>St. Rosa Jaurequi (Baja California), BC",#942AAE
Altor Solutions,Belcamp,MD,39.4732,-76.2324,"Altor Solutions<br>Belcamp, MD",#942AAE
Altor Solutions,Rome,GA,34.257,-85.1647,"Altor Solutions<br>Rome, GA",#942AAE
Altor Solutions,North Andover,MA,42.6987,-71.1351,"Altor Solutions<br>North Andover, MA",#942AAE
Altor Solutions,St. Petersburg,FL,27.7704,-82.6793,"Altor Solutions<br>St. Petersburg, FL",#942AAE
Altor Solutions,Waxahachie,TX,32.3865,-96.8483,"Altor Solutions<br>Waxahachie, TX",#942AAE
Altor Solutions,Vernon,CA,34.0039,-118.2302,"Altor Solutions<br>Vernon, CA",#942AAE
Altor Solutions,Huntington Beach,CA,33.6595,-117.9988,"Altor Solutions<br>Huntington Beach, CA",#942AAE
